,DATE,EMEA_Gen_TR,EM_Gen_TR,EM_Good_Y,EM_High_Y,US_AAA_TR,US_AAA_Y,US_AA_TR,US_AA_Y,US_A_TR,US_A_Y,US_BBB_TR,US_BBB_Y,US_BB_TR,US_BB_Y,US_B_TR,US_B_Y,US_CCC_TR,US_CCC_Y,US_Gen_TR,US_Gen_Y,US_High_Y
0,1998-12-31,100.0,100.0,8.48,14.92,253.61,5.6,257.73,5.67,257.45,5.97,261.4,6.7,119.97,8.07,114.92,10.79,108.06,18.03,1017.16,6.15,10.53
1,1999-01-04,99.44,100.09,8.48,14.9,253.25,5.62,257.56,5.68,257.15,5.99,261.14,6.72,120.0,8.07,115.15,10.77,108.41,17.92,1016.09,6.17,10.51
2,1999-01-05,100.25,100.32,8.46,14.89,252.19,5.68,256.66,5.75,256.16,6.05,260.11,6.78,119.9,8.1,115.24,10.76,109.0,17.79,1012.19,6.23,10.51
3,1999-01-06,101.17,100.9,8.37,14.79,252.72,5.66,257.2,5.72,256.8,6.02,260.74,6.75,120.09,8.07,115.36,10.74,109.38,17.71,1014.61,6.2,10.48
4,1999-01-07,101.92,100.89,8.43,14.78,252.01,5.7,256.58,5.75,256.14,6.05,259.96,6.8,119.94,8.11,115.42,10.73,109.49,17.71,1011.88,6.24,10.49
5,1999-01-08,101.96,100.81,8.4,14.82,251.27,5.75,255.96,5.81,255.46,6.11,259.31,6.84,119.83,8.14,115.71,10.69,110.33,17.54,1009.27,6.29,10.47
6,1999-01-11,102.48,100.6,8.41,14.93,250.76,5.79,255.65,5.84,255.1,6.14,258.88,6.87,119.76,8.16,115.75,10.7,110.24,17.57,1007.75,6.32,10.49
7,1999-01-12,102.11,100.51,8.37,14.96,252.03,5.72,256.84,5.76,256.39,6.07,260.21,6.8,120.02,8.12,115.77,10.71,110.28,17.55,1012.82,6.25,10.47
8,1999-01-13,101.94,97.45,8.31,16.22,253.17,5.66,257.8,5.7,257.46,6.0,261.36,6.73,119.81,8.15,115.41,10.79,109.77,17.68,1017.08,6.18,10.54
9,1999-01-14,102.08,96.26,8.37,16.74,254.92,5.56,259.31,5.6,259.17,5.9,263.17,6.63,120.07,8.13,115.42,10.79,109.95,17.64,1023.81,6.08,10.52
10,1999-01-15,101.74,96.23,8.39,16.71,253.99,5.63,258.26,5.69,258.12,5.97,262.31,6.69,119.82,8.16,115.38,10.78,110.07,17.6,1019.95,6.15,10.53
11,1999-01-18,102.17,96.4,8.29,16.72,254.2,5.62,258.39,5.69,258.26,5.97,262.47,6.71,119.9,8.16,115.46,10.79,110.16,17.6,1020.54,6.16,10.53
12,1999-01-19,102.18,97.0,8.4,16.43,253.72,5.65,257.95,5.72,257.82,6.0,262.05,6.71,120.01,8.15,115.63,10.73,110.3,17.56,1018.82,6.18,10.49
