DATE,BAMLEMCBPITRIV
1998-12-31,100.0
1999-01-04,100.09
1999-01-05,100.32
1999-01-06,100.9
1999-01-07,100.89
1999-01-08,100.81
1999-01-11,100.6
1999-01-12,100.51
1999-01-13,97.45
1999-01-14,96.26
1999-01-15,96.23
1999-01-18,96.4
1999-01-19,97.0
1999-01-20,97.57
1999-01-21,97.74
1999-01-22,97.78
1999-01-25,97.42
1999-01-26,97.57
1999-01-27,97.63
1999-01-28,97.86
1999-01-29,98.07
1999-01-31,98.05
1999-02-01,98.46
1999-02-02,98.62
1999-02-03,99.11
1999-02-04,99.16
1999-02-05,99.19
1999-02-08,99.14
1999-02-09,99.25
1999-02-10,99.51
1999-02-11,99.55
1999-02-12,99.55
1999-02-15,99.56
1999-02-16,99.95
1999-02-17,100.17
1999-02-18,100.56
1999-02-19,100.6
1999-02-22,100.73
1999-02-23,100.73
1999-02-24,100.58
1999-02-25,100.43
1999-02-26,100.41
1999-02-28,100.41
1999-03-01,100.64
1999-03-02,100.63
1999-03-03,100.58
1999-03-04,100.71
1999-03-05,100.93
1999-03-08,101.09
1999-03-09,101.39
1999-03-10,101.49
1999-03-11,101.67
1999-03-12,101.92
1999-03-15,102.38
1999-03-16,102.74
1999-03-17,102.85
1999-03-18,102.96
1999-03-19,103.73
1999-03-22,104.08
1999-03-23,104.28
1999-03-24,104.43
1999-03-25,104.59
1999-03-26,104.88
1999-03-29,104.99
1999-03-30,105.26
1999-03-31,105.41
1999-04-01,105.83
1999-04-02,105.92
1999-04-05,106.16
1999-04-06,106.47
1999-04-07,106.98
1999-04-08,107.58
1999-04-09,107.87
1999-04-12,108.21
1999-04-13,108.6
1999-04-14,108.88
1999-04-15,109.05
1999-04-16,109.26
1999-04-19,109.38
1999-04-20,109.76
1999-04-21,109.91
1999-04-22,109.9
1999-04-23,110.15
1999-04-26,110.39
1999-04-27,110.32
1999-04-28,110.51
1999-04-29,110.82
1999-04-30,110.71
1999-05-03,110.83
1999-05-04,111.01
1999-05-05,110.85
1999-05-06,110.81
1999-05-07,111.12
1999-05-10,111.16
1999-05-11,110.96
1999-05-12,110.91
1999-05-13,111.03
1999-05-14,110.68
1999-05-17,110.28
1999-05-18,110.05
1999-05-19,109.83
1999-05-20,109.45
1999-05-21,108.9
1999-05-24,108.52
1999-05-25,108.44
1999-05-26,108.75
1999-05-27,108.75
1999-05-28,108.5
1999-05-31,108.57
1999-06-01,108.32
1999-06-02,108.18
1999-06-03,108.17
1999-06-04,108.32
1999-06-07,108.64
