DATE,BAMLCC0A2AATRIV
2021-03-11,752.8
2021-03-10,753.12
2021-03-09,751.65
2021-03-08,749.78
2021-03-05,752.64
2021-03-04,753.39
2021-03-03,757.39
2021-03-02,759.97
2021-03-01,758.91
2021-02-28,759.12
2021-02-26,758.88
2021-02-25,753.7
2021-02-24,758.5
2021-02-23,760.55
2021-02-22,762.47
2021-02-19,765.56
2021-02-18,769.05
2021-02-17,768.85
2021-02-16,767.68
2021-02-15,771.92
2021-02-12,771.74
2021-02-11,774.93
2021-02-10,776.49
2021-02-09,774.9
2021-02-08,774.96
2021-02-05,773.06
2021-02-04,774.76
2021-02-03,775.4
2021-02-02,777.06
2021-02-01,778.5
2021-01-31,777.92
2021-01-29,777.86
2021-01-28,779.78
2021-01-27,782.04
2021-01-26,781.43
2021-01-25,781.9
2021-01-22,779.15
2021-01-21,778.94
2021-01-20,781.08
2021-01-19,781.09
2021-01-18,780.46
2021-01-15,780.28
2021-01-14,778.54
2021-01-13,780.58
2021-01-12,776.3
2021-01-11,776.79
2021-01-08,777.72
2021-01-07,778.34
2021-01-06,778.57
2021-01-05,785.27
2021-01-04,789.47
2020-12-31,790.2
2020-12-30,788.62
2020-12-29,787.58
2020-12-28,787.42
2020-12-24,786.88
2020-12-23,784.91
2020-12-22,787.31
2020-12-21,785.42
2020-12-18,784.75
2020-12-17,785.96
2020-12-16,785.86
2020-12-15,785.14
2020-12-14,787.0
2020-12-11,786.67
2020-12-10,786.38
2020-12-09,783.64
2020-12-08,786.63
2020-12-07,785.99
2020-12-04,783.38
2020-12-03,787.01
2020-12-02,784.0
2020-12-01,784.11
2020-11-30,788.59
2020-11-27,787.52
2020-11-26,784.4
2020-11-25,784.34
2020-11-24,784.97
2020-11-23,786.18
2020-11-20,787.53
2020-11-19,784.77
2020-11-18,781.97
2020-11-17,780.63
2020-11-16,777.63
2020-11-13,777.41
2020-11-12,777.67
2020-11-11,772.33
2020-11-10,772.27
2020-11-09,773.16
2020-11-06,778.11
2020-11-05,780.05
2020-11-04,778.35
2020-11-03,770.26
2020-11-02,771.26
2020-10-31,770.21
2020-10-30,770.19
2020-10-29,771.1
2020-10-28,774.37
2020-10-27,776.27
2020-10-26,774.54
2020-10-23,772.14
2020-10-22,771.15
2020-10-21,772.96
2020-10-20,774.14
2020-10-19,777.28
2020-10-16,777.73
2020-10-15,778.13
2020-10-14,779.44
2020-10-13,779.1
2020-10-12,774.63
2020-10-09,774.45
2020-10-08,774.77
2020-10-07,772.86
2020-10-06,774.98
2020-10-05,771.55
2020-10-02,775.11
2020-10-01,776.47
2020-09-30,776.42
2020-09-29,778.16
2020-09-28,776.24
2020-09-25,776.71
2020-09-24,778.2
2020-09-23,779.64
2020-09-22,780.83
2020-09-21,780.07
2020-09-18,779.48
2020-09-17,780.94
2020-09-16,779.74
2020-09-15,780.02
2020-09-14,780.68
2020-09-11,780.24
2020-09-10,779.27
2020-09-09,777.75
2020-09-08,779.69
2020-09-07,777.56
2020-09-04,777.38
2020-09-03,785.78
2020-09-02,784.09
2020-09-01,780.6
2020-08-31,778.23
2020-08-28,774.45
2020-08-27,774.14
2020-08-26,779.05
2020-08-25,780.32
2020-08-24,782.82
2020-08-21,782.74
2020-08-20,781.85
2020-08-19,779.91
2020-08-18,780.87
2020-08-17,780.32
2020-08-14,779.76
2020-08-13,781.23
2020-08-12,785.28
2020-08-11,786.12
2020-08-10,792.1
2020-08-07,792.96
2020-08-06,794.62
2020-08-05,793.02
2020-08-04,794.34
2020-08-03,790.64
2020-07-31,792.69
2020-07-30,792.71
2020-07-29,790.22
2020-07-28,791.38
2020-07-27,790.32
2020-07-24,791.81
2020-07-23,791.93
2020-07-22,789.52
2020-07-21,787.5
2020-07-20,785.37
2020-07-17,783.69
2020-07-16,784.45
2020-07-15,782.32
2020-07-14,782.6
2020-07-13,780.67
2020-07-10,780.28
2020-07-09,781.76
2020-07-08,777.7
2020-07-07,777.85
2020-07-06,774.48
2020-07-03,772.16
2020-07-02,772.1
2020-07-01,769.76
2020-06-30,769.3
2020-06-29,768.86
2020-06-26,769.24
2020-06-25,767.36
2020-06-24,766.86
2020-06-23,767.05
2020-06-22,767.88
2020-06-19,768.26
2020-06-18,768.0
2020-06-17,765.83
2020-06-16,765.17
2020-06-15,762.41
2020-06-12,763.11
2020-06-11,765.98
2020-06-10,765.4
2020-06-09,762.4
2020-06-08,760.6
2020-06-05,758.43
2020-06-04,756.97
2020-06-03,759.93
2020-06-02,761.81
2020-06-01,761.35
2020-05-31,762.42
2020-05-29,762.35
2020-05-28,758.55
2020-05-27,758.99
2020-05-26,757.71
2020-05-25,759.0
2020-05-22,758.82
2020-05-21,757.09
2020-05-20,755.39
2020-05-19,750.55
2020-05-18,746.4
2020-05-15,748.64
2020-05-14,748.58
2020-05-13,746.03
2020-05-12,743.84
2020-05-11,740.27
2020-05-08,744.05
2020-05-07,748.94
2020-05-06,744.61
2020-05-05,748.38
2020-05-04,749.39
2020-05-01,751.08
2020-04-30,752.19
2020-04-29,752.19
2020-04-28,752.48
2020-04-27,749.9
2020-04-24,752.37
2020-04-23,750.63
2020-04-22,748.74
2020-04-21,751.01
2020-04-20,749.06
2020-04-17,748.67
2020-04-16,751.31
2020-04-15,748.22
2020-04-14,744.33
2020-04-13,742.79
2020-04-09,740.11
2020-04-08,730.62
2020-04-07,728.32
2020-04-06,726.83
2020-04-03,729.14
2020-04-02,727.5
2020-04-01,728.99
2020-03-31,726.82
2020-03-30,726.2
2020-03-27,721.04
2020-03-26,714.25
2020-03-25,703.53
2020-03-24,693.22
2020-03-23,686.93
2020-03-20,677.15
2020-03-19,682.25
2020-03-18,687.95
2020-03-17,712.1
2020-03-16,729.03
2020-03-13,725.76
2020-03-12,732.77
2020-03-11,746.65
2020-03-10,752.66
2020-03-09,766.29
2020-03-06,770.94
2020-03-05,760.47
2020-03-04,757.33
2020-03-03,755.92
2020-03-02,752.77
2020-02-29,751.6
2020-02-28,751.47
2020-02-27,747.13
2020-02-26,748.81
2020-02-25,748.28
2020-02-24,747.6
2020-02-21,744.28
2020-02-20,742.29
2020-02-19,740.34
2020-02-18,740.91
2020-02-17,739.25
2020-02-14,739.06
2020-02-13,737.31
2020-02-12,736.35
2020-02-11,737.94
2020-02-10,739.87
2020-02-07,738.41
2020-02-06,734.72
2020-02-05,733.39
2020-02-04,735.11
2020-02-03,739.0
2020-01-31,738.87
2020-01-30,737.97
2020-01-29,737.1
2020-01-28,734.43
