DATE,BAMLHYH0A1BBTRIV
1996-12-31,100.0
1997-01-02,99.67
1997-01-03,99.73
1997-01-06,99.7
1997-01-07,99.63
1997-01-08,99.61
1997-01-09,99.85
1997-01-10,99.58
1997-01-13,99.64
1997-01-14,100.09
1997-01-15,100.14
1997-01-16,100.08
1997-01-17,100.13
1997-01-20,100.22
1997-01-21,100.38
1997-01-22,100.37
1997-01-23,100.3
1997-01-24,100.25
1997-01-27,100.21
1997-01-28,100.36
1997-01-29,100.4
1997-01-30,100.51
1997-01-31,100.82
1997-02-03,101.1
1997-02-04,101.19
1997-02-05,101.17
1997-02-06,101.26
1997-02-07,101.51
1997-02-10,101.64
1997-02-11,101.66
1997-02-12,101.67
1997-02-13,102.06
1997-02-14,102.36
1997-02-18,102.44
1997-02-19,102.49
1997-02-20,102.34
1997-02-21,102.38
1997-02-24,102.38
1997-02-25,102.41
1997-02-26,101.88
1997-02-27,101.78
1997-02-28,101.82
1997-03-03,101.8
1997-03-04,101.75
1997-03-05,101.71
1997-03-06,101.64
1997-03-07,101.88
1997-03-10,101.99
1997-03-11,102.05
1997-03-12,102.01
1997-03-13,101.65
1997-03-14,101.68
1997-03-17,101.69
1997-03-18,101.69
1997-03-19,101.61
1997-03-20,101.63
1997-03-21,101.62
1997-03-24,101.76
1997-03-25,101.68
1997-03-26,101.42
1997-03-27,100.99
1997-03-31,100.75
1997-04-01,100.75
1997-04-02,100.77
1997-04-03,100.76
1997-04-04,100.51
1997-04-07,100.8
1997-04-08,100.72
1997-04-09,100.75
1997-04-10,100.77
1997-04-11,100.55
1997-04-14,100.57
1997-04-15,100.9
1997-04-16,100.9
1997-04-17,101.07
1997-04-18,101.21
1997-04-21,101.19
1997-04-22,101.39
1997-04-23,101.27
1997-04-24,101.16
1997-04-25,101.14
1997-04-28,101.33
1997-04-29,101.35
1997-04-30,101.37
1997-05-01,101.44
1997-05-02,101.67
1997-05-05,101.8
1997-05-06,101.83
1997-05-07,101.67
1997-05-08,101.8
1997-05-09,102.07
1997-05-12,102.23
1997-05-13,102.15
1997-05-14,102.41
1997-05-15,102.48
1997-05-16,102.4
1997-05-19,102.45
1997-05-20,102.51
1997-05-21,102.43
1997-05-22,102.39
1997-05-23,102.48
1997-05-27,102.42
1997-05-28,102.45
1997-05-29,102.71
1997-05-30,103.0
1997-05-31,103.03
1997-06-02,103.23
1997-06-03,103.41
1997-06-04,103.49
1997-06-05,103.55
1997-06-06,103.91
1997-06-09,104.02
1997-06-10,104.05
1997-06-11,104.14
1997-06-12,104.47
1997-06-13,104.66
1997-06-16,104.86
1997-06-17,104.78
1997-06-18,104.87
1997-06-19,104.92
1997-06-20,105.05
1997-06-23,105.02
1997-06-24,105.01
1997-06-25,104.87
1997-06-26,104.7
1997-06-27,104.84
1997-06-30,104.7
1997-07-01,104.95
1997-07-02,105.08
1997-07-03,105.45
1997-07-07,105.77
1997-07-08,105.79
1997-07-09,105.98
1997-07-10,106.03
1997-07-11,106.55
1997-07-14,106.56
1997-07-15,106.63
1997-07-16,106.91
1997-07-17,106.94
1997-07-18,106.84
1997-07-21,106.86
1997-07-22,107.29
1997-07-23,107.44
1997-07-24,107.45
1997-07-25,107.44
1997-07-28,107.65
1997-07-29,107.85
1997-07-30,108.12
1997-07-31,108.31
1997-08-01,107.64
1997-08-04,107.57
1997-08-05,107.58
1997-08-06,107.6
1997-08-07,107.57
1997-08-08,106.97
1997-08-11,107.06
1997-08-12,106.97
1997-08-13,107.09
1997-08-14,107.41
1997-08-15,107.41
1997-08-18,107.7
1997-08-19,107.73
1997-08-20,107.66
1997-08-21,107.45
1997-08-22,107.17
1997-08-25,107.18
1997-08-26,107.23
1997-08-27,107.25
1997-08-28,107.57
1997-08-29,107.44
1997-08-31,107.49
1997-09-02,107.66
1997-09-03,107.59
1997-09-04,107.61
1997-09-05,107.52
1997-09-08,107.7
1997-09-09,107.69
1997-09-10,107.62
1997-09-11,107.56
1997-09-12,107.93
1997-09-15,108.06
1997-09-16,108.79
1997-09-17,108.98
1997-09-18,108.99
1997-09-19,109.13
1997-09-22,109.34
1997-09-23,109.23
1997-09-24,109.47
1997-09-25,109.18
1997-09-26,109.36
1997-09-29,109.4
1997-09-30,109.34
1997-10-01,109.71
1997-10-02,109.87
1997-10-03,110.03
1997-10-06,110.24
1997-10-07,110.37
1997-10-08,109.92
1997-10-09,109.8
1997-10-10,109.57
1997-10-13,109.64
1997-10-14,110.01
1997-10-15,109.88
1997-10-16,109.95
1997-10-17,109.69
1997-10-20,109.81
1997-10-21,109.84
1997-10-22,109.93
1997-10-23,110.28
1997-10-24,110.4
1997-10-27,110.71
1997-10-28,109.81
1997-10-29,110.2
1997-10-30,110.44
1997-10-31,110.46
1997-11-03,110.26
1997-11-04,110.24
1997-11-05,110.33
1997-11-06,110.52
1997-11-07,110.46
1997-11-10,110.48
1997-11-11,110.54
1997-11-12,110.68
1997-11-13,110.69
1997-11-14,110.68
1997-11-17,110.81
1997-11-18,110.9
1997-11-19,111.06
1997-11-20,111.0
1997-11-21,111.2
1997-11-24,111.09
1997-11-25,111.18
1997-11-26,111.23
1997-11-27,111.25
1997-11-28,111.27
1997-11-30,111.32
1997-12-01,111.36
1997-12-02,111.4
1997-12-03,111.55
1997-12-04,111.58
1997-12-05,111.36
1997-12-08,111.27
1997-12-09,111.35
1997-12-10,111.55
1997-12-11,111.85
1997-12-12,112.13
1997-12-15,112.07
1997-12-16,112.16
1997-12-17,111.95
1997-12-18,112.35
1997-12-19,112.41
1997-12-22,112.44
1997-12-23,112.49
1997-12-24,112.43
1997-12-26,112.51
1997-12-29,112.52
1997-12-30,112.39
1997-12-31,112.58
1998-01-02,112.92
1998-01-05,113.64
1998-01-06,113.8
1998-01-07,113.52
1998-01-08,113.71
1998-01-09,114.11
1998-01-12,114.11
1998-01-13,113.93
1998-01-14,113.88
1998-01-15,113.83
1998-01-16,113.55
1998-01-19,113.63
1998-01-20,113.55
1998-01-21,113.7
1998-01-22,113.64
1998-01-23,113.13
1998-01-26,113.39
1998-01-27,113.17
1998-01-28,113.24
1998-01-29,113.72
1998-01-30,113.91
1998-01-31,113.93
1998-02-02,113.78
1998-02-03,113.89
1998-02-04,113.9
1998-02-05,113.72
1998-02-06,113.75
1998-02-09,113.68
1998-02-10,113.78
1998-02-11,114.08
1998-02-12,114.17
1998-02-13,114.32
1998-02-16,114.4
1998-02-17,114.59
1998-02-18,114.47
1998-02-19,114.41
1998-02-20,114.37
1998-02-23,114.28
1998-02-24,113.89
1998-02-25,114.01
1998-02-26,113.93
1998-02-27,114.06
1998-02-28,114.08
1998-03-02,113.79
1998-03-03,113.5
1998-03-04,113.56
1998-03-05,113.55
1998-03-06,113.74
1998-03-09,114.01
1998-03-10,114.0
1998-03-11,114.16
1998-03-12,114.49
1998-03-13,114.46
1998-03-16,114.74
1998-03-17,114.68
1998-03-18,114.64
1998-03-19,114.65
1998-03-20,114.73
1998-03-23,114.84
1998-03-24,114.89
1998-03-25,114.65
1998-03-26,114.54
1998-03-27,114.58
1998-03-30,114.57
1998-03-31,114.81
1998-04-01,115.03
1998-04-02,115.26
1998-04-03,115.66
1998-04-06,115.58
1998-04-07,115.54
1998-04-08,115.37
1998-04-09,115.37
1998-04-13,115.17
1998-04-14,115.32
1998-04-15,115.43
1998-04-16,115.57
1998-04-17,115.63
1998-04-20,115.56
1998-04-21,115.45
1998-04-22,115.46
1998-04-23,115.46
1998-04-24,115.57
1998-04-27,115.06
1998-04-28,115.05
1998-04-29,115.04
1998-04-30,115.54
1998-05-01,115.64
