DATE,BAMLHYH0A2BTRIV
1996-12-31,100.0
1997-01-02,100.02
1997-01-03,99.99
1997-01-06,99.94
1997-01-07,99.87
1997-01-08,99.87
1997-01-09,99.98
1997-01-10,99.93
1997-01-13,99.99
1997-01-14,100.13
1997-01-15,100.21
1997-01-16,100.24
1997-01-17,100.25
1997-01-20,100.37
1997-01-21,100.43
1997-01-22,100.58
1997-01-23,100.6
1997-01-24,100.64
1997-01-27,100.7
1997-01-28,100.72
1997-01-29,100.7
1997-01-30,100.71
1997-01-31,100.8
1997-02-03,100.86
1997-02-04,100.91
1997-02-05,101.02
1997-02-06,101.09
1997-02-07,101.17
1997-02-10,101.29
1997-02-11,101.4
1997-02-12,101.47
1997-02-13,101.59
1997-02-14,101.73
1997-02-18,101.95
1997-02-19,102.14
1997-02-20,102.35
1997-02-21,102.41
1997-02-24,102.6
1997-02-25,102.67
1997-02-26,102.65
1997-02-27,102.55
1997-02-28,102.49
1997-03-03,102.45
1997-03-04,102.48
1997-03-05,102.29
1997-03-06,102.28
1997-03-07,102.36
1997-03-10,102.41
1997-03-11,102.51
1997-03-12,102.54
1997-03-13,102.45
1997-03-14,102.39
1997-03-17,102.33
1997-03-18,102.31
1997-03-19,102.09
1997-03-20,101.94
1997-03-21,101.87
1997-03-24,101.88
1997-03-25,102.04
1997-03-26,101.72
1997-03-27,101.45
1997-03-31,100.71
1997-04-01,100.71
1997-04-02,100.74
1997-04-03,100.77
1997-04-04,100.71
1997-04-07,100.95
1997-04-08,100.95
1997-04-09,101.04
1997-04-10,101.04
1997-04-11,100.95
1997-04-14,100.96
1997-04-15,101.02
1997-04-16,101.06
1997-04-17,101.24
1997-04-18,101.45
1997-04-21,101.61
1997-04-22,101.72
1997-04-23,101.93
1997-04-24,102.0
1997-04-25,102.04
1997-04-28,102.04
1997-04-29,102.06
1997-04-30,102.09
1997-05-01,102.24
1997-05-02,102.36
1997-05-05,102.59
1997-05-06,102.77
1997-05-07,102.82
1997-05-08,102.92
1997-05-09,103.09
1997-05-12,103.35
1997-05-13,103.53
1997-05-14,103.72
1997-05-15,103.88
1997-05-16,103.93
1997-05-19,104.04
1997-05-20,104.06
1997-05-21,104.1
1997-05-22,104.24
1997-05-23,104.32
1997-05-27,104.42
1997-05-28,104.49
1997-05-29,104.59
1997-05-30,104.65
1997-05-31,104.67
1997-06-02,104.77
1997-06-03,104.95
1997-06-04,105.1
1997-06-05,105.22
1997-06-06,105.38
1997-06-09,105.7
1997-06-10,105.85
1997-06-11,106.03
1997-06-12,106.14
1997-06-13,106.18
1997-06-16,106.35
1997-06-17,106.32
1997-06-18,106.3
1997-06-19,106.34
1997-06-20,106.38
1997-06-23,106.46
1997-06-24,106.45
1997-06-25,106.46
1997-06-26,106.26
1997-06-27,106.23
1997-06-30,106.22
1997-07-01,106.25
1997-07-02,106.32
1997-07-03,106.4
1997-07-07,106.63
1997-07-08,106.69
1997-07-09,106.83
1997-07-10,106.93
1997-07-11,107.07
1997-07-14,107.17
1997-07-15,107.3
1997-07-16,107.45
1997-07-17,107.53
1997-07-18,107.54
1997-07-21,107.66
1997-07-22,107.75
1997-07-23,107.85
1997-07-24,107.9
1997-07-25,108.03
1997-07-28,108.17
1997-07-29,108.26
1997-07-30,108.41
1997-07-31,108.57
1997-08-01,108.54
1997-08-04,108.57
1997-08-05,108.62
1997-08-06,108.7
1997-08-07,108.78
1997-08-08,108.47
1997-08-11,108.52
1997-08-12,108.51
1997-08-13,108.53
1997-08-14,108.56
1997-08-15,108.59
1997-08-18,108.65
1997-08-19,108.74
1997-08-20,108.78
1997-08-21,108.81
1997-08-22,108.76
1997-08-25,108.84
1997-08-26,108.83
1997-08-27,108.81
1997-08-28,108.8
1997-08-29,108.81
1997-08-31,108.86
1997-09-02,108.88
1997-09-03,108.92
1997-09-04,108.93
1997-09-05,108.94
1997-09-08,109.05
1997-09-09,109.09
1997-09-10,109.13
1997-09-11,109.09
1997-09-12,109.21
1997-09-15,109.4
1997-09-16,109.54
1997-09-17,109.79
1997-09-18,109.99
1997-09-19,110.06
1997-09-22,110.23
1997-09-23,110.29
1997-09-24,110.34
1997-09-25,110.41
1997-09-26,110.41
1997-09-29,110.55
1997-09-30,110.63
1997-10-01,110.76
1997-10-02,110.88
1997-10-03,111.04
1997-10-06,111.24
1997-10-07,111.39
1997-10-08,111.49
1997-10-09,111.34
1997-10-10,111.35
1997-10-13,111.43
1997-10-14,111.5
1997-10-15,111.48
1997-10-16,111.49
1997-10-17,111.43
1997-10-20,111.5
1997-10-21,111.49
1997-10-22,111.52
1997-10-23,111.5
1997-10-24,111.53
1997-10-27,110.94
1997-10-28,110.4
1997-10-29,110.66
1997-10-30,110.6
1997-10-31,110.65
1997-11-03,110.82
1997-11-04,111.01
1997-11-05,111.21
1997-11-06,111.31
1997-11-07,111.2
1997-11-10,111.43
1997-11-11,111.47
1997-11-12,111.48
1997-11-13,111.38
1997-11-14,111.39
1997-11-17,111.46
1997-11-18,111.5
1997-11-19,111.46
1997-11-20,111.44
1997-11-21,111.52
1997-11-24,111.59
1997-11-25,111.63
1997-11-26,111.66
1997-11-27,111.69
1997-11-28,111.72
1997-11-30,111.78
1997-12-01,111.8
1997-12-02,111.98
1997-12-03,112.13
1997-12-04,112.24
1997-12-05,112.26
1997-12-08,112.46
1997-12-09,112.52
1997-12-10,112.59
1997-12-11,112.6
1997-12-12,112.62
1997-12-15,112.7
1997-12-16,112.71
1997-12-17,112.74
1997-12-18,112.74
