DATE,BAMLHYH0A3CMTRIV
1996-12-31,100.0
1997-01-02,99.02
1997-01-03,98.6
1997-01-06,98.66
1997-01-07,98.55
1997-01-08,98.55
1997-01-09,98.39
1997-01-10,98.39
1997-01-13,97.89
1997-01-14,98.45
1997-01-15,98.58
1997-01-16,98.74
1997-01-17,98.76
1997-01-20,98.94
1997-01-21,98.9
1997-01-22,99.21
1997-01-23,99.0
1997-01-24,99.28
1997-01-27,99.51
1997-01-28,99.59
1997-01-29,99.47
1997-01-30,99.36
1997-01-31,99.15
1997-02-03,99.55
1997-02-04,99.86
1997-02-05,99.97
1997-02-06,100.1
1997-02-07,100.39
1997-02-10,100.81
1997-02-11,100.75
1997-02-12,100.91
1997-02-13,101.07
1997-02-14,101.38
1997-02-18,101.52
1997-02-19,101.64
1997-02-20,101.99
1997-02-21,101.96
1997-02-24,102.24
1997-02-25,102.96
1997-02-26,103.08
1997-02-27,103.19
1997-02-28,103.04
1997-03-03,102.49
1997-03-04,103.02
1997-03-05,102.71
1997-03-06,102.78
1997-03-07,102.71
1997-03-10,102.6
1997-03-11,102.71
1997-03-12,102.86
1997-03-13,102.78
1997-03-14,102.66
1997-03-17,102.72
1997-03-18,102.65
1997-03-19,103.0
1997-03-20,103.0
1997-03-21,102.97
1997-03-24,103.03
1997-03-25,103.02
1997-03-26,102.78
1997-03-27,102.59
1997-03-31,101.92
1997-04-01,101.92
1997-04-02,101.95
1997-04-03,101.91
1997-04-04,102.05
1997-04-07,102.29
1997-04-08,102.3
1997-04-09,102.37
1997-04-10,102.14
1997-04-11,101.79
1997-04-14,102.1
1997-04-15,102.52
1997-04-16,102.84
1997-04-17,102.76
1997-04-18,102.98
1997-04-21,103.42
1997-04-22,103.67
1997-04-23,103.71
1997-04-24,103.8
1997-04-25,103.85
1997-04-28,103.36
1997-04-29,103.38
1997-04-30,103.4
1997-05-01,103.37
1997-05-02,103.51
1997-05-05,103.65
1997-05-06,103.55
1997-05-07,103.63
1997-05-08,103.84
1997-05-09,104.25
1997-05-12,104.42
1997-05-13,104.25
1997-05-14,104.55
1997-05-15,104.6
1997-05-16,104.7
1997-05-19,104.76
1997-05-20,104.85
1997-05-21,104.92
1997-05-22,105.07
1997-05-23,105.16
1997-05-27,105.23
1997-05-28,105.35
1997-05-29,105.47
1997-05-30,105.73
1997-05-31,105.75
1997-06-02,105.89
1997-06-03,106.08
1997-06-04,106.47
1997-06-05,106.61
1997-06-06,107.23
1997-06-09,107.72
1997-06-10,107.9
1997-06-11,108.0
1997-06-12,107.93
1997-06-13,107.91
1997-06-16,108.14
1997-06-17,108.04
1997-06-18,107.87
1997-06-19,107.81
1997-06-20,107.68
1997-06-23,107.71
1997-06-24,107.6
1997-06-25,107.44
1997-06-26,107.18
1997-06-27,107.44
1997-06-30,107.29
1997-07-01,107.32
1997-07-02,107.29
1997-07-03,107.25
1997-07-07,107.52
1997-07-08,107.76
1997-07-09,108.07
1997-07-10,108.09
1997-07-11,108.08
1997-07-14,108.22
1997-07-15,108.13
1997-07-16,108.36
1997-07-17,108.53
1997-07-18,108.51
1997-07-21,108.26
1997-07-22,108.27
1997-07-23,108.33
1997-07-24,108.42
1997-07-25,108.27
1997-07-28,108.3
1997-07-29,107.87
1997-07-30,107.94
1997-07-31,108.15
1997-08-01,107.97
1997-08-04,107.95
1997-08-05,107.96
1997-08-06,108.38
1997-08-07,108.6
1997-08-08,108.72
1997-08-11,108.8
1997-08-12,108.98
1997-08-13,109.07
1997-08-14,109.19
1997-08-15,109.15
1997-08-18,109.09
1997-08-19,109.13
1997-08-20,109.25
1997-08-21,109.34
1997-08-22,109.15
1997-08-25,109.34
1997-08-26,109.34
1997-08-27,109.38
1997-08-28,109.56
1997-08-29,109.55
1997-08-31,109.6
1997-09-02,109.84
1997-09-03,109.87
1997-09-04,110.08
1997-09-05,110.18
1997-09-08,110.47
1997-09-09,110.67
1997-09-10,111.07
1997-09-11,111.08
1997-09-12,111.29
1997-09-15,111.35
1997-09-16,111.84
1997-09-17,112.07
1997-09-18,112.5
1997-09-19,112.56
1997-09-22,112.66
1997-09-23,112.76
1997-09-24,113.03
1997-09-25,113.1
1997-09-26,113.11
1997-09-29,113.34
1997-09-30,113.29
1997-10-01,113.64
1997-10-02,113.81
1997-10-03,114.0
1997-10-06,114.55
1997-10-07,114.72
1997-10-08,114.95
1997-10-09,114.9
1997-10-10,114.92
1997-10-13,115.05
1997-10-14,115.14
1997-10-15,115.32
1997-10-16,115.6
1997-10-17,115.53
1997-10-20,115.55
1997-10-21,115.48
1997-10-22,115.6
1997-10-23,115.56
1997-10-24,115.6
1997-10-27,114.6
1997-10-28,113.72
1997-10-29,114.03
1997-10-30,114.01
1997-10-31,113.98
1997-11-03,114.08
1997-11-04,115.03
1997-11-05,115.43
1997-11-06,115.56
1997-11-07,116.16
1997-11-10,115.83
1997-11-11,115.9
1997-11-12,115.89
1997-11-13,115.8
1997-11-14,115.52
1997-11-17,115.65
1997-11-18,115.79
1997-11-19,115.74
1997-11-20,115.81
1997-11-21,115.93
1997-11-24,115.69
1997-11-25,115.72
1997-11-26,115.85
1997-11-27,115.88
1997-11-28,115.48
1997-11-30,115.54
1997-12-01,115.45
1997-12-02,115.8
1997-12-03,116.22
1997-12-04,116.56
1997-12-05,116.27
1997-12-08,116.48
1997-12-09,116.3
1997-12-10,116.12
1997-12-11,116.25
1997-12-12,116.02
1997-12-15,116.2
1997-12-16,115.87
1997-12-17,115.84
1997-12-18,115.8
1997-12-19,115.72
1997-12-22,115.65
1997-12-23,115.39
1997-12-24,115.42
1997-12-26,115.48
1997-12-29,115.56
1997-12-30,115.41
1997-12-31,115.33
1998-01-02,115.36
1998-01-05,115.55
1998-01-06,115.73
1998-01-07,115.9
1998-01-08,116.28
1998-01-09,116.43
1998-01-12,116.56
1998-01-13,116.79
1998-01-14,116.99
1998-01-15,117.31
1998-01-16,117.52
1998-01-19,117.6
1998-01-20,118.08
1998-01-21,118.44
1998-01-22,118.34
1998-01-23,118.46
1998-01-26,118.67
1998-01-27,118.32
1998-01-28,118.67
1998-01-29,118.88
1998-01-30,118.82
1998-01-31,118.85
1998-02-02,118.79
1998-02-03,117.71
1998-02-04,117.8
1998-02-05,117.5
1998-02-06,117.73
1998-02-09,117.78
1998-02-10,117.84
1998-02-11,117.99
1998-02-12,118.18
1998-02-13,118.34
1998-02-16,118.41
1998-02-17,118.18
1998-02-18,118.21
1998-02-19,118.17
1998-02-20,118.14
1998-02-23,118.42
1998-02-24,118.4
1998-02-25,118.36
1998-02-26,118.41
1998-02-27,118.5
1998-02-28,118.53
1998-03-02,118.53
1998-03-03,118.36
1998-03-04,118.13
1998-03-05,117.94
1998-03-06,117.38
1998-03-09,117.27
1998-03-10,117.45
1998-03-11,117.87
1998-03-12,118.29
1998-03-13,118.43
1998-03-16,118.72
